user_id,nr_sessions,date_last_booking_travelled,page_clicks_tot,page_clicks_avg,flights_taken,hotels_stayed,nr_booked_and_travelled,nr_booked_but_cancelled,nr_cancellation_session,nr_no_booking,flight_taken_discount_avg,hotel_stayed_discount_avg,flight_taken_price_avg,hotel_stayed_room_price_per_night_avg,hotel_stayed_nights_avg,nr_airlines_taken,distance_km_tot,distance_km_avg,duration_tot,duration_avg,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,age_in_2023,age_bin,user_spend_tot,user_spend_avg,R_score,F_score,M_score,RFM_score,RFM_label,RFM_label2
23557,8,2023-07-14 12:36:00,82,10.25,0,2,2,0,0,6,,0.25,,177.0,10.0,0,,,20.0,10.0,1958-12-08,F,True,False,usa,new york,LGA,40.777,-73.872,2021-07-22,65,"{'left': 60, 'right': 70}",3802.0,1901.0,5.0,2,4.0,11.0,high potential,high potential
94883,8,2023-04-10 21:13:00,73,9.125,4,2,2,0,0,6,,,432.04499999999996,90.0,1.0,2,2907.3362708929435,1453.6681354464718,3.0,1.5,1972-03-16,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-02-07,51,"{'left': 50, 'right': 60}",1094.09,547.045,2.0,2,1.0,5.0,lost,lost
101486,8,2023-06-17 19:42:00,131,16.375,2,2,2,0,0,6,,,189.91,198.5,4.5,1,965.3419012993706,965.3419012993706,9.0,4.5,1972-12-07,F,True,True,usa,tacoma,TCM,47.138,-122.476,2022-02-17,51,"{'left': 50, 'right': 60}",2641.91,1320.955,4.0,2,3.0,9.0,new customer,high potential
101961,8,2023-06-22 13:27:00,126,15.75,10,5,5,0,0,3,0.1,,248.532,136.0,4.4,5,6608.4300413375395,1321.686008267508,24.0,4.8,1980-09-14,F,True,False,usa,boston,BOS,42.364,-71.005,2022-02-17,43,"{'left': 40, 'right': 50}",4040.66,808.132,4.0,5,4.0,13.0,champion,champion
106907,8,,240,30.0,0,0,0,1,1,6,,,,,,0,,,,,1978-11-17,F,True,True,usa,miami,TNT,25.862,-80.897,2022-02-24,45,"{'left': 40, 'right': 50}",,,,1,,,inactive,inactive
118043,8,2023-07-15 02:05:00,164,20.5,6,4,5,0,0,3,0.2,0.11666666666666665,779.7633333333333,227.25,6.0,3,7365.08369973208,2455.0278999106936,27.0,5.4,1972-05-04,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-03-10,51,"{'left': 50, 'right': 60}",8977.29,1795.458,5.0,5,5.0,15.0,champion,champion
120851,8,2023-04-07 18:56:00,55,6.875,2,1,1,0,0,7,,,384.68,182.0,11.0,1,2249.8369800541254,2249.8369800541254,12.0,12.0,1972-09-25,F,True,True,usa,santa ana,SNA,33.676,-117.868,2022-03-13,51,"{'left': 50, 'right': 60}",2386.68,2386.68,2.0,1,3.0,6.0,lost high-value,dormant / one-timer
125845,9,2023-06-05 19:55:00,159,17.666666666666668,6,3,3,0,0,6,0.15,,584.44,123.66666666666667,2.3333333333333335,3,8102.35556684943,2700.78518894981,10.0,3.3333333333333335,1983-12-01,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-03-19,40,"{'left': 40, 'right': 50}",2617.32,872.44,4.0,3,3.0,10.0,loyal,champion
133058,8,2023-03-27 02:07:00,73,9.125,2,0,1,0,0,7,,,423.51,,,1,2708.298122467532,2708.298122467532,4.0,4.0,2005-04-07,F,False,False,usa,austin,AUS,30.194,-97.67,2022-03-27,18,"{'left': 17, 'right': 20}",423.51,423.51,2.0,1,1.0,4.0,lost,lost
149058,8,2023-04-16 11:45:00,142,17.75,10,5,5,0,0,3,0.05,,385.73199999999997,168.6,6.0,5,9523.791916355813,1904.7583832711625,33.0,6.6,1973-01-22,F,False,True,usa,birmingham,BHM,33.563,-86.753,2022-04-14,50,"{'left': 50, 'right': 60}",8202.66,1640.532,2.0,5,5.0,12.0,at risk,need attention
